# Time (s), Acceleration (g)
2.859999999999999876e+00,1.605910420181776155e-02
2.870000000000000107e+00,-5.806356184589292133e-03
2.879999999999999893e+00,4.819266672786929467e-04
2.890000000000000124e+00,-2.455888077618306395e-02
2.899999999999999911e+00,-3.672098629276901449e-02
2.910000000000000142e+00,-1.805582342573254159e-02
2.919999999999999929e+00,-3.400731649590083006e-02
2.930000000000000160e+00,-3.214776052268477485e-02
2.939999999999999947e+00,2.203004090712821356e-02
2.950000000000000178e+00,4.381537407081496222e-02
2.959999999999999964e+00,2.460957915624908954e-02
2.970000000000000195e+00,2.964122491610776677e-02
2.979999999999999982e+00,3.980331647885376051e-02
2.990000000000000213e+00,2.463453844124272388e-02
3.000000000000000000e+00,1.254523747817565607e-02
3.010000000000000231e+00,5.322539255971080532e-03
3.020000000000000018e+00,4.921407554627065667e-04
3.030000000000000249e+00,1.396527282546556128e-02
3.040000000000000036e+00,2.466921070771171606e-02
3.050000000000000266e+00,1.185272112907054254e-02
3.060000000000000053e+00,1.325003142166789570e-04
3.070000000000000284e+00,6.593872426709432299e-03
3.080000000000000071e+00,2.651540642601900311e-02
3.089999999999999858e+00,4.298144366938992655e-02
3.100000000000000089e+00,4.134260156707032785e-02
3.109999999999999876e+00,4.888803388000351191e-02
3.120000000000000107e+00,4.815950099381852145e-02
3.129999999999999893e+00,8.069663974824132363e-03
3.140000000000000124e+00,-2.901016053921829860e-02
3.149999999999999911e+00,-4.672540524966244113e-02
3.160000000000000142e+00,-4.198817764249931223e-02
3.169999999999999929e+00,-3.105029071527914616e-02
3.180000000000000160e+00,-3.948758428603454246e-02
3.189999999999999947e+00,-3.411121209179709263e-02
3.200000000000000178e+00,-2.788765030386683788e-02
3.209999999999999964e+00,-3.193415358268096582e-02
3.220000000000000195e+00,-2.653462048787844432e-02
3.229999999999999982e+00,-4.803283993465259916e-02
3.240000000000000213e+00,-6.134926447097623775e-02
3.250000000000000000e+00,-1.111381867369054532e-02
3.260000000000000231e+00,1.414993352708843882e-02
3.270000000000000018e+00,-1.717766485105672383e-02
3.280000000000000249e+00,-1.885446060240796723e-02
3.290000000000000036e+00,-1.967002878355517039e-03
3.300000000000000266e+00,3.705666079120357656e-03
3.310000000000000053e+00,1.644789743433545601e-02
3.320000000000000284e+00,2.959820234738590877e-02
3.330000000000000071e+00,3.819198272237854519e-02
3.339999999999999858e+00,2.996860101978818247e-02
3.350000000000000089e+00,3.507834494824421667e-02
3.359999999999999876e+00,5.269355276118654202e-02
3.370000000000000107e+00,4.239120387739593598e-02
3.379999999999999893e+00,6.869017478740370442e-02
3.390000000000000124e+00,1.185765094608783876e-01
3.399999999999999911e+00,1.210528597434197412e-01
3.410000000000000142e+00,1.075249488157750399e-01
3.419999999999999929e+00,7.838911318795253880e-02
3.430000000000000160e+00,5.717322568971287128e-02
3.439999999999999947e+00,6.810942716549925335e-02
3.450000000000000178e+00,5.797551249280051555e-02
3.459999999999999964e+00,5.204841878502036723e-02
3.470000000000000195e+00,4.436315080932237698e-02
3.479999999999999982e+00,-6.958022629283633353e-03
3.490000000000000213e+00,-3.289135496994614188e-02
3.500000000000000000e+00,-3.780587171484900422e-02
3.510000000000000231e+00,-6.572559178444552230e-02
3.520000000000000018e+00,-6.683061593079113460e-02
3.530000000000000249e+00,-4.212578652893186199e-02
3.540000000000000036e+00,-5.672382446020318714e-02
3.550000000000000266e+00,-8.881970573268806179e-02
3.560000000000000053e+00,-8.740681462660432333e-02
3.570000000000000284e+00,-8.430603749093855404e-02
3.580000000000000071e+00,-7.571143640462159319e-02
3.589999999999999858e+00,-5.372156347405548232e-02
3.600000000000000089e+00,-3.127637674904604204e-02
3.609999999999999876e+00,-5.285441077851716490e-03
3.620000000000000107e+00,-1.718000797643825031e-02
3.629999999999999893e+00,-2.063066849974188113e-02
3.640000000000000124e+00,-6.583098490523359679e-04
3.649999999999999911e+00,-1.103400690655529552e-03
3.660000000000000142e+00,2.785309908505118059e-02
3.669999999999999929e+00,5.438514912385888217e-02
3.680000000000000160e+00,7.330429800758901659e-02
3.689999999999999947e+00,8.762181754584749682e-02
3.700000000000000178e+00,2.739212390393206895e-02
3.709999999999999964e+00,-1.462889651322922188e-02
3.720000000000000195e+00,6.667394795466810575e-03
3.729999999999999982e+00,2.257279149264954793e-02
3.740000000000000213e+00,4.252828900493557662e-02
3.750000000000000000e+00,3.760982114595642217e-02
3.760000000000000231e+00,1.182177892351479395e-02
3.770000000000000018e+00,1.727541577044590382e-02
3.780000000000000249e+00,8.654546946467478116e-03
3.790000000000000036e+00,-2.724003352406540596e-02
3.800000000000000266e+00,-3.943671975662991352e-02
3.810000000000000053e+00,1.343997691285708090e-02
3.820000000000000284e+00,8.727000877970256254e-02
3.830000000000000071e+00,7.370536909282383864e-02
3.839999999999999858e+00,3.770714380612959910e-02
3.850000000000000089e+00,3.069632048370318431e-02
3.859999999999999876e+00,2.665551374995081546e-02
3.870000000000000107e+00,5.858954557215011877e-02
3.879999999999999893e+00,2.591701637457903898e-02
3.890000000000000124e+00,-3.461318612429833269e-02
3.899999999999999911e+00,-7.203026041295034626e-03
3.910000000000000142e+00,1.186077663037382601e-02
3.919999999999999929e+00,5.996320024772759660e-03
3.930000000000000160e+00,-5.683386967377969737e-03
3.939999999999999947e+00,2.069976512718885164e-02
3.950000000000000178e+00,8.330848641654878262e-02
3.959999999999999964e+00,2.260133372533820739e-02
3.970000000000000195e+00,-6.980207423788692411e-02
3.979999999999999982e+00,-3.918776413514349355e-02
3.990000000000000213e+00,-1.675317558557388314e-02
4.000000000000000000e+00,-3.140448902182056690e-02
4.009999999999999787e+00,4.155035327171104076e-03
4.020000000000000462e+00,-1.295295073482420969e-02
4.030000000000000249e+00,-8.884578081216909506e-02
4.040000000000000036e+00,-1.183796486041353430e-01
4.049999999999999822e+00,-1.515510687223031172e-01
4.060000000000000497e+00,-1.431221355185212929e-01
