# Period (s), Spectral Acceleration (g)
5.960991773939504357e-02,1.100725904222711105e+00
6.142884294769644649e-02,1.209389558575465484e+00
6.330327047908201887e-02,1.279847046722508264e+00
6.523489392043137214e-02,1.393164453570038486e+00
6.722545853639828872e-02,1.222371941138703955e+00
6.927676284629606662e-02,1.096439303948349542e+00
7.139066024909970776e-02,1.070235564354315771e+00
7.356906069803284542e-02,1.179673375662309898e+00
7.581393242625314444e-02,1.171929024360346627e+00
7.812730372519445521e-02,1.153147749389485499e+00
8.051126477717318597e-02,1.194672917451056415e+00
8.296796954391444379e-02,1.293622498720462977e+00
8.549963771270431556e-02,1.379563708819297130e+00
8.810855670192636879e-02,1.285145665301017370e+00
9.079708372779524139e-02,1.147678485209241872e+00
9.356764793415364712e-02,1.102847444681283484e+00
9.642275258725775677e-02,1.144670865562254836e+00
9.936497733753384132e-02,1.148225963061031862e+00
1.023969805503497366e-01,1.196087594086862049e+00
1.055215017079068063e-01,1.229891528218687968e+00
1.087413638844231395e-01,1.241184631181207365e+00
1.120594762968435965e-01,1.248516283305234120e+00
1.154788369333819842e-01,1.180764799530559683e+00
1.190025352622698929e-01,1.181390125205445729e+00
1.226337550231598322e-01,1.180613789760922350e+00
1.263757771037047062e-01,1.180485363190383552e+00
1.302319825039127410e-01,1.073170167727012236e+00
1.342058553909554752e-01,1.193107271208985631e+00
1.383009862471909768e-01,1.164187494109973242e+00
1.425210751142438337e-01,1.232845578709116818e+00
1.468699349360749196e-01,1.199807892978731250e+00
1.513514950040610041e-01,1.163004429326924161e+00
1.559698045071966910e-01,1.140101626531281553e+00
1.607290361906265619e-01,1.175675933312887222e+00
1.656334901258129655e-01,1.246934305496757878e+00
1.706875975957461156e-01,1.197676917446881317e+00
1.758959250987066070e-01,1.099276488439710375e+00
1.812631784741980945e-01,1.188899615963602052e+00
1.867942071547770977e-01,1.165404613952627955e+00
1.924940085476239682e-01,1.190912291689992353e+00
1.983677325498105493e-01,1.220246242613721943e+00
2.044206862013465964e-01,1.207230839717280624e+00
2.106583384802082626e-01,1.142653903386722902e+00
2.170863252436810442e-01,1.171229991268577297e+00
2.237104543204820328e-01,1.201175431078630673e+00
2.305367107582619590e-01,1.132831776546603608e+00
2.375712622312286249e-01,1.165806520358063425e+00
2.448204646127775386e-01,1.177314656191047249e+00
2.522908677181647241e-01,1.227490633531753250e+00
2.599892212224091392e-01,1.245551170527166018e+00
2.679224807587757273e-01,1.184482794106965775e+00
2.760978142033428950e-01,1.103836750118929011e+00
2.845226081513384520e-01,1.095359366686827096e+00
2.932044745910920014e-01,1.098401493976698617e+00
3.021512577816354295e-01,1.073887166399327686e+00
3.113710413401651333e-01,1.017140361756518674e+00
3.208721555457694774e-01,9.825441711722092686e-01
3.306631848660210315e-01,9.569553700067434665e-01
3.407529757132332082e-01,9.498379067020644717e-01
3.511506444373910241e-01,9.467694347349647765e-01
3.618655855629736573e-01,9.355941584481288764e-01
3.729074802771183972e-01,8.896933664508979156e-01
3.842863051767864691e-01,7.775596698398287154e-01
3.960123412828404077e-01,7.615323651612169176e-01
4.080961833291742447e-01,7.824822837790367247e-01
4.205487493352910722e-01,6.895150882323006769e-01
4.333812904709758995e-01,7.599404650626541136e-01
4.466054012219771718e-01,7.410575044968708003e-01
4.602330298658822150e-01,6.607010228121478201e-01
4.742764892676509803e-01,6.652889100636020236e-01
4.887484680045635632e-01,6.777500732162898833e-01
5.036620418306293478e-01,6.799405164793098644e-01
5.190306854908238732e-01,6.597623350123994479e-01
5.348682848958181690e-01,6.326269144518475995e-01
5.511891496682075342e-01,6.049095091081232445e-01
5.680080260715735241e-01,5.766462223932395936e-01
5.853401103340600820e-01,5.487173059495470406e-01
6.032010623785031278e-01,5.127010646914207381e-01
6.216070199715182376e-01,4.566376915919930224e-01
6.405746133043312973e-01,4.863744166969718452e-01
6.601209800185252607e-01,5.084719217633650867e-01
6.802637806902794848e-01,4.949200797156160236e-01
7.010212147870933386e-01,4.720466852472802732e-01
7.224120371114060024e-01,4.501946672686226725e-01
7.444555747459811190e-01,4.278077862029734946e-01
7.671717445163521720e-01,4.268787697452123275e-01
7.905810709861170738e-01,4.147279140687144539e-01
8.147047050013371816e-01,3.907709454712916530e-01
8.395644428007958959e-01,3.666881848593754323e-01
8.651827457093842488e-01,3.548256205006228292e-01
8.915827604324068067e-01,3.557245936699280353e-01
9.187883399691432196e-01,3.503240075242516904e-01
9.468240651645627448e-01,3.455864775498376229e-01
9.757152669186643923e-01,3.387311841431416282e-01
1.005488049073502976e+00,3.173455355309277026e-01
1.036169311998596188e+00,2.984803114001770563e-01
1.067786776896001433e+00,2.930755377995176714e-01
1.100369010847037865e+00,2.961842736359696637e-01
1.133945452623279060e+00,3.031500815119677616e-01
1.168546439285135685e+00,2.936041864862716233e-01
1.204203233592064270e+00,2.701313702575919851e-01
1.240948052249162714e+00,2.530874748369445482e-01
1.278814095015679664e+00,2.481114940713712302e-01
1.317835574701733181e+00,2.386800466880610594e-01
1.358047748080345674e+00,2.275347124757245432e-01
1.399486947742715870e+00,2.218974166084649313e-01
1.442190614925528580e+00,2.289038940129186073e-01
1.486197333339938531e+00,2.262018891982295610e-01
1.531546864032810706e+00,2.177751953176962907e-01
1.578280181311709329e+00,2.083905179621311499e-01
1.626439509766093083e+00,2.020178964707472491e-01
1.676068362418170032e+00,1.941229552558874638e-01
1.727211580037878669e+00,1.855137826347709185e-01
1.779915371657518230e+00,1.725916709061208754e-01
1.834227356322636115e+00,1.668287733662258965e-01
1.890196606116893552e+00,1.718816198750949820e-01
1.947873690499775101e+00,1.726386028957899721e-01
2.007310721997229042e+00,1.690557204413324355e-01
2.068561403286483635e+00,1.622926295170612765e-01
2.131681075717610785e+00,1.538252302985770315e-01
2.196726769315662242e+00,1.451579721734621575e-01
2.263757254308564892e+00,1.378620200927426209e-01
2.332833094227325432e+00,1.326862733989638832e-01
2.404016700626525171e+00,1.297878065444010853e-01
2.477372389474544079e+00,1.286522968317803939e-01
2.552966439264467535e+00,1.284651416862365170e-01
2.630867150898175577e+00,1.281427493326568468e-01
2.711144909397717129e+00,1.269665246559102678e-01
2.793872247499752604e+00,1.244391913459882287e-01
2.879123911190481166e+00,1.203783633792313984e-01
2.966976927240302153e+00,1.148648973254523115e-01
3.057510672799212070e+00,1.082830751524276047e-01
3.150806947115818879e+00,1.011631121387265575e-01
3.246950045444781718e+00,9.512954391223257811e-02
3.346026835209442662e+00,9.233181516130378741e-02
3.448126834488473680e+00,8.997104321524129755e-02
3.553342292897444299e+00,8.710792793649201060e-02
3.661768274938404844e+00,8.408934129359857401e-02
3.773502745892755694e+00,8.139013955866276906e-02
3.888646660335077776e+00,7.956467900738734000e-02
4.007304053347816364e+00,7.768302390217468600e-02
4.129582134519290015e+00,7.562113659365958529e-02
4.255591384809933153e+00,7.539296337243130142e-02
4.385445656374299617e+00,7.575236279928476701e-02
4.519262275429005271e+00,7.553513282258536576e-02
4.657162148259573087e+00,7.493189431917372800e-02
4.799269870461946752e+00,7.391591036156730521e-02
4.945713839517373422e+00,7.219774603821429992e-02
5.096626370802384898e+00,7.021099279201480081e-02
5.252143817138657411e+00,6.750221662349033258e-02
5.412406691990842234e+00,6.375031750462067937e-02
5.577559796423578575e+00,5.987892669935909046e-02
5.747752349932478744e+00,5.598682936493549339e-02
5.923138125267247922e+00,5.157623618857336278e-02
6.103875587368782440e+00,4.739498028478315861e-02
6.290128036545758583e+00,4.590335220566529179e-02
6.482063756020086664e+00,4.384251131934000650e-02
6.679856163974536187e+00,4.130539384314323853e-02
6.883683970239914629e+00,4.035402107191073812e-02
7.093731337763373723e+00,3.806052718917708050e-02
7.310188049003689237e+00,3.276633490415597344e-02
7.533249677403969891e+00,2.977651742454255970e-02
7.763117764096573836e+00,2.671523377433238089e-02
7.999999999999999112e+00,2.524963237977408473e-02
